Time - Filtered	Amplitude - Filtered
44:42,3	0,133696
44:42,4	0,793864
44:42,4	1,32039
44:42,4	1,8482
44:42,4	2,37944
44:42,4	2,7735
44:42,4	2,77088
44:42,4	2,76972
44:42,5	2,77355
44:42,5	2,7778
44:42,5	2,7746
44:42,5	2,77344
44:42,5	2,77733
44:42,5	2,77687
44:42,5	2,7735
44:42,5	2,7735
44:42,6	2,7735
44:42,6	2,77361
44:42,6	2,76885
44:42,6	2,76844
44:42,6	2,76867
44:42,6	2,7728
44:42,6	2,76896
44:42,6	2,77762
44:42,7	2,78053
44:42,7	2,77681
44:42,7	2,77879
44:42,7	2,77222
44:42,7	2,77687
44:42,7	2,77053
44:42,7	2,77541
44:42,7	2,77559
44:42,8	2,77198
44:42,8	2,76855
44:42,8	2,7685
44:42,8	2,77164
44:42,8	2,77012
44:42,8	2,77507
44:42,8	2,77216
44:42,8	2,77344
44:42,9	2,77704
44:42,9	2,7789
44:42,9	2,77559
44:42,9	2,7782
44:42,9	2,7778
44:42,9	2,77698
44:42,9	2,77553
44:42,9	2,77286
44:42,9	2,77472
44:43,0	2,78035
44:43,0	2,77658
44:43,0	2,7746
44:43,0	2,77251
44:43,0	2,76925
44:43,0	2,76431
44:43,0	2,76181
44:43,0	2,76152
44:43,1	2,76483
44:43,1	2,7642
44:43,1	2,77396
44:43,1	2,76966
44:43,1	2,77588
44:43,1	2,78024
44:43,1	2,77786
44:43,1	2,77326
44:43,2	2,78041
44:43,2	2,78326
44:43,2	2,78059
44:43,2	2,77745
44:43,2	2,77675
44:43,2	2,77565
44:43,2	2,77251
44:43,2	2,77007
44:43,3	2,76733
44:43,3	2,77164
44:43,3	2,76844
44:43,3	2,7614
44:43,3	2,76233
44:43,3	2,76774
44:43,3	2,76733
44:43,3	2,76536
44:43,4	2,77408
44:43,4	2,77373
44:43,4	2,77716
44:43,4	2,7728
44:43,4	2,7703
44:43,4	2,77286
44:43,4	2,77105
44:43,4	2,77088
44:43,5	2,76774
44:43,5	2,76739
44:43,5	2,76617
44:43,5	2,766
44:43,5	2,76547
44:43,5	2,77012
44:43,5	2,77379
44:43,5	2,77547
44:43,6	2,78128
44:43,6	2,78309
44:43,6	2,78018
44:43,6	2,77175
44:43,6	2,776
44:43,6	2,77175
44:43,6	2,76861
44:43,6	2,77251
44:43,7	2,76815
44:43,7	2,76867
44:43,7	2,77123
44:43,7	2,77216
44:43,7	2,76908
44:43,7	2,7732
44:43,7	2,7778
44:43,7	2,77629
44:43,8	2,77838
44:43,8	2,77989
44:43,8	2,77832
44:43,8	2,77844
44:43,8	2,77588
44:43,8	2,77634
44:43,8	2,77582
44:43,8	2,7703
44:43,9	2,77414
44:43,9	2,77315
44:43,9	2,76838
44:43,9	2,76489
44:43,9	2,76024
44:43,9	2,76001
44:43,9	2,76094
44:44,0	2,76425
44:44,0	2,76797
44:44,0	2,7782
44:44,0	2,77617
44:44,0	2,77076
44:44,0	2,77018
44:44,0	2,77071
44:44,0	2,76844
44:44,1	2,77227
44:44,1	2,77512
44:44,1	2,77838
44:44,1	2,77501
44:44,1	2,77018
44:44,1	2,76838
44:44,1	2,77117
44:44,1	2,77129
44:44,2	2,7739
44:44,2	2,77198
44:44,2	2,77884
44:44,2	2,77966
44:44,2	2,77483
44:44,2	2,7714
44:44,2	2,7746
44:44,2	2,77553
44:44,3	2,77617
44:44,3	2,77123
44:44,3	2,77355
44:44,3	2,77181
44:44,3	2,77361
44:44,3	2,77274
44:44,3	2,77472
44:44,3	2,77826
44:44,4	2,77896
44:44,4	2,77803
44:44,4	2,78291
44:44,4	2,78431
44:44,4	2,78216
44:44,4	2,77669
44:44,4	2,77762
44:44,5	2,77791
44:44,5	2,76629
44:44,5	2,76431
44:44,5	2,76536
44:44,5	2,76885
44:44,5	2,76646
44:44,5	2,76867
44:44,5	2,77419
44:44,6	2,77565
44:44,6	2,77658
44:44,6	2,78117
44:44,6	2,78477
44:44,6	2,78187
44:44,6	2,77995
44:44,6	2,78088
44:44,6	2,77942
44:44,7	2,77582
44:44,7	2,77495
44:44,7	2,77716
44:44,7	2,77716
44:44,7	2,77041
44:44,7	2,77065
44:44,7	2,77489
44:44,8	2,77204
44:44,8	2,76454
44:44,8	2,76838
44:44,8	2,76908
44:44,8	2,76181
44:44,8	2,75832
44:44,8	2,76722
44:44,8	2,7685
44:44,9	2,7678
44:44,9	2,77018
44:44,9	2,7732
44:44,9	2,76855
44:44,9	2,77425
44:44,9	2,77658
44:44,9	2,77733
44:44,9	2,77611
44:45,0	2,77123
44:45,0	2,77541
44:45,0	2,76664
44:45,0	2,77739
44:45,0	2,77995
44:45,0	2,7789
44:45,1	2,77826
44:45,1	2,77803
44:45,1	2,78163
44:45,1	2,77768
44:45,1	2,77855
44:45,1	2,77198
44:45,1	2,77286
44:45,1	2,76879
44:45,2	2,76652
44:45,2	2,7639
44:45,2	2,76588
44:45,2	2,76792
44:45,2	2,77414
44:45,2	2,77361
44:45,2	2,76896
44:45,2	2,77297
44:45,3	2,77309
44:45,3	2,77257
44:45,3	2,77425
44:45,3	2,77931
44:45,3	2,77867
44:45,3	2,77402
44:45,3	2,77745
44:45,4	2,77495
44:45,4	2,77698
44:45,4	2,77704
44:45,4	2,77059
44:45,4	2,75943
44:45,4	2,75786
44:45,4	2,76222
44:45,4	2,76059
44:45,5	2,76449
44:45,5	2,76838
44:45,5	2,76257
44:45,5	2,76106
44:45,5	2,7553
44:45,5	2,74838
44:45,5	2,74885
44:45,5	2,75827
44:45,6	2,76065
44:45,6	2,75664
44:45,6	2,76053
44:45,6	2,7614
44:45,6	2,75844
44:45,6	2,75751
44:45,6	2,76001
44:45,6	2,76437
44:45,7	2,76071
44:45,7	2,75646
44:45,7	2,76803
44:45,7	2,77094
44:45,7	2,77437
44:45,7	2,77727
44:45,7	2,78181
44:45,7	2,77553
44:45,8	2,77419
44:45,8	2,77123
44:45,8	2,7689
44:45,8	2,76443
44:45,8	2,77088
44:45,8	2,76495
44:45,8	2,76739
44:45,8	2,76483
44:45,9	2,76082
44:45,9	2,76652
44:45,9	2,76821
44:45,9	2,76245
