Time - Filtered	Amplitude - Filtered
26:55,6	0,147182
26:55,6	0,738642
26:55,6	1,32906
26:55,7	1,92115
26:55,7	2,50628
26:55,7	3,09966
26:55,7	3,09733
26:55,7	3,09832
26:55,7	3,09501
26:55,7	3,09838
26:55,7	3,09169
26:55,7	3,09408
26:55,7	3,09326
26:55,7	3,09268
26:55,8	3,0932
26:55,8	3,09599
26:55,8	3,0953
26:55,8	3,09535
26:55,8	3,09628
26:55,8	3,09599
26:55,8	3,09512
26:55,8	3,09431
26:55,8	3,09291
26:55,8	3,09198
26:55,8	3,09175
26:55,9	3,09152
26:55,9	3,09204
26:55,9	3,09506
26:55,9	3,09594
26:55,9	3,09541
26:55,9	3,09826
26:55,9	3,09814
26:55,9	3,09483
26:55,9	3,09198
26:55,9	3,09129
26:55,9	3,09681
26:56,0	3,09495
26:56,0	3,09512
26:56,0	3,09977
26:56,0	3,09937
26:56,0	3,1
26:56,0	3,09768
26:56,0	3,0982
26:56,0	3,09099
26:56,0	3,08977
26:56,0	3,08727
26:56,0	3,08547
26:56,1	3,08611
26:56,1	3,09384
26:56,1	3,09442
26:56,1	3,09739
26:56,1	3,09524
26:56,1	3,08943
26:56,1	3,08896
26:56,1	3,08716
26:56,1	3,08158
26:56,1	3,08228
26:56,1	3,0828
26:56,2	3,08954
26:56,2	3,09012
26:56,2	3,09518
26:56,2	3,09315
26:56,2	3,0957
26:56,2	3,09721
26:56,2	3,0957
26:56,2	3,09588
26:56,2	3,09617
26:56,2	3,09623
26:56,2	3,09658
26:56,3	3,10117
26:56,3	3,10262
26:56,3	3,10489
26:56,3	3,10855
26:56,3	3,10559
26:56,3	3,1007
26:56,3	3,09832
26:56,3	3,09483
26:56,3	3,09669
26:56,3	3,09419
26:56,3	3,09803
26:56,3	3,1007
26:56,4	3,10082
26:56,4	3,09861
26:56,4	3,09809
26:56,4	3,09535
26:56,4	3,08257
26:56,4	3,07274
26:56,4	3,07576
26:56,4	3,07821
26:56,4	3,07699
26:56,4	3,07954
26:56,4	3,09396
26:56,5	3,09245
26:56,5	3,08879
26:56,5	3,08861
26:56,5	3,09344
26:56,5	3,08902
26:56,5	3,09152
26:56,5	3,09262
26:56,5	3,09396
26:56,5	3,09506
26:56,5	3,10041
26:56,5	3,09937
26:56,6	3,09873
26:56,6	3,09692
26:56,6	3,09373
26:56,6	3,09233
26:56,6	3,0871
26:56,6	3,08693
26:56,6	3,09123
26:56,6	3,09082
26:56,6	3,09413
26:56,6	3,10076
26:56,6	3,09896
26:56,7	3,1003
26:56,7	3,10314
26:56,7	3,10216
26:56,7	3,09524
26:56,7	3,09483
26:56,7	3,09716
26:56,7	3,09861
26:56,7	3,09716
26:56,7	3,10448
26:56,7	3,09768
26:56,7	3,09535
26:56,8	3,09169
26:56,8	3,08954
26:56,8	3,08757
26:56,8	3,09245
26:56,8	3,09716
26:56,8	3,09902
26:56,8	3,10233
26:56,8	3,10378
26:56,8	3,10762
26:56,8	3,10262
26:56,8	3,09419
26:56,9	3,0928
26:56,9	3,08873
26:56,9	3,08751
26:56,9	3,08623
26:56,9	3,09216
26:56,9	3,09431
26:56,9	3,09774
26:56,9	3,09105
26:56,9	3,09408
26:56,9	3,0853
26:56,9	3,07844
26:57,0	3,07943
26:57,0	3,08384
26:57,0	3,0835
26:57,0	3,08239
26:57,0	3,09129
26:57,0	3,08919
26:57,0	3,08373
26:57,0	3,08228
26:57,0	3,08832
26:57,0	3,08698
26:57,0	3,08838
26:57,1	3,09535
26:57,1	3,09663
26:57,1	3,09384
26:57,1	3,09431
26:57,1	3,09216
26:57,1	3,09059
26:57,1	3,08175
26:57,1	3,0821
26:57,1	3,08257
26:57,1	3,0896
26:57,1	3,08908
26:57,2	3,08838
26:57,2	3,08989
26:57,2	3,08472
26:57,2	3,08303
26:57,2	3,08047
26:57,2	3,08024
26:57,2	3,08024
26:57,2	3,08855
26:57,2	3,0946
26:57,2	3,09634
26:57,2	3,09861
26:57,3	3,10128
26:57,3	3,0928
26:57,3	3,09088
26:57,3	3,08943
26:57,3	3,08774
26:57,3	3,08664
26:57,3	3,08884
26:57,3	3,08698
26:57,3	3,09065
26:57,3	3,09274
26:57,3	3,09582
26:57,4	3,09948
26:57,4	3,10093
26:57,4	3,09867
26:57,4	3,10181
26:57,4	3,10128
26:57,4	3,09547
26:57,4	3,08989
26:57,4	3,08855
26:57,4	3,0882
26:57,4	3,09059
26:57,4	3,09332
26:57,5	3,10128
26:57,5	3,10099
26:57,5	3,09704
26:57,5	3,09983
26:57,5	3,09838
26:57,5	3,09867
26:57,5	3,09477
26:57,5	3,10146
26:57,5	3,09256
26:57,5	3,09448
26:57,5	3,09599
26:57,6	3,09687
26:57,6	3,09448
26:57,6	3,09483
26:57,6	3,09146
26:57,6	3,08832
26:57,6	3,08884
26:57,6	3,08739
26:57,6	3,0871
26:57,6	3,08774
26:57,6	3,08669
26:57,6	3,08105
26:57,7	3,07954
26:57,7	3,08007
26:57,7	3,0864
26:57,7	3,08652
26:57,7	3,09134
26:57,7	3,09012
26:57,7	3,09158
26:57,7	3,09099
26:57,7	3,08902
26:57,7	3,0889
26:57,7	3,09762
26:57,8	3,10117
26:57,8	3,105
26:57,8	3,10529
26:57,8	3,10378
26:57,8	3,09547
26:57,8	3,09547
26:57,8	3,09274
26:57,8	3,09105
26:57,8	3,09117
26:57,8	3,0907
26:57,8	3,09012
26:57,9	3,09408
26:57,9	3,09448
26:57,9	3,09477
26:57,9	3,09402
26:57,9	3,0946
26:57,9	3,09448
26:57,9	3,09268
26:57,9	3,09675
26:57,9	3,09419
26:57,9	3,09169
26:57,9	3,09489
26:58,0	3,09425
26:58,0	3,09332
26:58,0	3,09204
26:58,0	3,09501
26:58,0	3,09216
26:58,0	3,09187
26:58,0	3,09442
26:58,0	3,09861
26:58,0	3,09222
26:58,0	3,08925
26:58,0	3,09018
26:58,1	3,08007
26:58,1	3,07751
26:58,1	3,09041
26:58,1	3,09611
26:58,1	3,0928
26:58,1	3,10018
26:58,1	3,10175
26:58,1	3,09896
26:58,1	3,08966
26:58,1	3,09692
26:58,1	3,09658
26:58,2	3,09471
26:58,2	3,08896
26:58,2	3,08943
26:58,2	3,08425
26:58,2	3,08408
26:58,2	3,08477
26:58,2	3,08972
26:58,2	3,0903
26:58,2	3,09547
26:58,2	3,0939
26:58,2	3,09425
26:58,3	3,09192
26:58,3	3,08338
26:58,3	3,08495
26:58,3	3,08518
26:58,3	3,08815
26:58,3	3,09594
26:58,3	3,10564
26:58,3	3,1075
26:58,3	3,10715
26:58,3	3,10826
26:58,3	3,10384
26:58,4	3,10233
26:58,4	3,09797
26:58,4	3,09844
26:58,4	3,09931
26:58,4	3,09867
26:58,4	3,09646
26:58,4	3,09774
26:58,4	3,09576
26:58,4	3,0928
26:58,4	3,09454
26:58,4	3,09303
26:58,5	3,09152
26:58,5	3,09163
26:58,5	3,09634
26:58,5	3,09344
26:58,5	3,09448
26:58,5	3,09658
26:58,5	3,09477
26:58,5	3,09123
26:58,5	3,0853
26:58,5	3,08536
26:58,5	3,08315
26:58,5	3,08286
26:58,6	3,07995
26:58,6	3,08634
26:58,6	3,08745
26:58,6	3,08408
26:58,6	3,08913
26:58,6	3,09274
26:58,6	3,08925
26:58,6	3,09245
26:58,6	3,09658
26:58,6	3,09797
26:58,6	3,09041
26:58,7	3,09268
26:58,7	3,09687
26:58,7	3,09739
26:58,7	3,09768
26:58,7	3,1057
26:58,7	3,10541
26:58,7	3,1003
26:58,7	3,10105
26:58,7	3,10076
26:58,7	3,09681
26:58,7	3,09774
26:58,8	3,10221
26:58,8	3,1046
26:58,8	3,10367
26:58,8	3,10349
26:58,8	3,1025
26:58,8	3,09809
26:58,8	3,09408
26:58,8	3,09262
26:58,8	3,0971
26:58,8	3,10047
26:58,8	3,10105
26:58,9	3,10355
26:58,9	3,10425
26:58,9	3,10367
26:58,9	3,09326
26:58,9	3,09222
26:58,9	3,09123
26:58,9	3,0885
26:58,9	3,08239
26:58,9	3,0903
26:58,9	3,09315
26:58,9	3,09326
26:59,0	3,09634
26:59,0	3,09797
26:59,0	3,0964
26:59,0	3,09285
26:59,0	3,08768
26:59,0	3,08803
26:59,0	3,08972
26:59,0	3,08908
26:59,0	3,08408
26:59,0	3,09285
26:59,0	3,09303
26:59,1	3,08518
26:59,1	3,08233
26:59,1	3,08414
26:59,1	3,08483
26:59,1	3,08047
26:59,1	3,07885
26:59,1	3,08826
26:59,1	3,08042
26:59,1	3,08768
26:59,1	3,09315
26:59,1	3,09466
26:59,2	3,09902
26:59,2	3,10582
26:59,2	3,10698
26:59,2	3,10093
26:59,2	3,09878
26:59,2	3,09611
26:59,2	3,0946
26:59,2	3,09187
26:59,2	3,09454
26:59,2	3,09541
26:59,2	3,09663
26:59,3	3,09471
26:59,3	3,09669
26:59,3	3,09291
26:59,3	3,09315
26:59,3	3,09582
26:59,3	3,09047
26:59,3	3,08989
26:59,3	3,08716
26:59,3	3,08675
26:59,3	3,08338
26:59,3	3,08047
26:59,4	3,08797
26:59,4	3,08844
26:59,4	3,08972
26:59,4	3,08919
26:59,4	3,08873
26:59,4	3,09285
26:59,4	3,08239
26:59,4	3,07797
26:59,4	3,07873
26:59,4	3,08245
26:59,4	3,08262
26:59,5	3,0939
26:59,5	3,10099
26:59,5	3,0946
26:59,5	3,09309
26:59,5	3,09489
26:59,5	3,09181
26:59,5	3,09059
26:59,5	3,0889
26:59,5	3,0939
26:59,5	3,08937
26:59,5	3,09216
26:59,6	3,08658
26:59,6	3,08414
26:59,6	3,086
26:59,6	3,08617
26:59,6	3,08774
26:59,6	3,09285
26:59,6	3,09344
26:59,6	3,09791
26:59,6	3,09628
26:59,6	3,09553
26:59,6	3,09192
26:59,7	3,0914
26:59,7	3,08809
26:59,7	3,08943
26:59,7	3,08931
26:59,7	3,0914
26:59,7	3,09082
26:59,7	3,09111
26:59,7	3,08943
26:59,7	3,09175
26:59,7	3,09285
26:59,7	3,09658
26:59,8	3,09989
26:59,8	3,09785
26:59,8	3,10117
26:59,8	3,09832
26:59,8	3,09791
26:59,8	3,09495
26:59,8	3,09373
26:59,8	3,09094
26:59,8	3,09344
26:59,8	3,0914
26:59,8	3,08832
26:59,9	3,08861
26:59,9	3,08477
