Time - Filtered	Amplitude - Filtered
01:45,8	3,11547
01:45,9	3,11808
01:45,9	3,12093
01:45,9	3,12343
01:45,9	3,12576
01:45,9	3,12727
01:45,9	3,12889
01:45,9	3,12494
01:45,9	3,1214
01:45,9	3,12256
01:45,9	3,12372
01:46,0	3,12593
01:46,0	3,12866
01:46,0	3,13035
01:46,0	3,13122
01:46,0	3,13256
01:46,0	3,13354
01:46,0	3,13477
01:46,0	3,13552
01:46,0	3,13587
01:46,0	3,13971
01:46,1	3,13982
01:46,1	3,14017
01:46,1	3,14052
01:46,1	3,13866
01:46,1	3,13918
01:46,1	3,13994
01:46,1	3,14128
01:46,1	3,14192
01:46,1	3,1475
01:46,1	3,14837
01:46,2	3,14907
01:46,2	3,14907
01:46,2	3,15261
01:46,2	3,15279
01:46,2	3,15302
01:46,2	3,15279
01:46,2	3,15331
01:46,2	3,15319
01:46,2	3,15372
01:46,2	3,15383
01:46,3	3,15046
01:46,3	3,15034
01:46,3	3,15063
01:46,3	3,15029
01:46,3	3,15261
01:46,3	3,15197
01:46,3	3,15156
01:46,3	3,15069
01:46,3	3,15563
01:46,3	3,15523
01:46,4	3,15459
01:46,4	3,15412
01:46,4	3,15354
01:46,4	3,14575
01:46,4	3,14476
01:46,4	3,14407
01:46,4	3,1436
01:46,4	3,14261
01:46,4	3,14226
01:46,4	3,14128
01:46,5	3,14081
01:46,5	3,14366
01:46,5	3,14244
01:46,5	3,14116
01:46,5	3,14017
01:46,5	3,13918
01:46,5	3,1368
01:46,5	3,13546
01:46,5	3,13401
01:46,5	3,13279
01:46,6	3,13116
01:46,6	3,13029
01:46,6	3,12878
01:46,6	3,12762
01:46,6	3,12988
01:46,6	3,1286
01:46,6	3,12698
01:46,6	3,12523
01:46,6	3,12593
01:46,7	3,12343
01:46,7	3,1218
01:46,7	3,11983
01:46,7	3,11721
01:46,7	3,1157
01:46,7	3,11361
01:46,7	3,11198
01:46,7	3,10965
01:46,7	3,10919
01:46,7	3,10733
01:46,7	3,10535
01:46,8	3,10239
01:46,8	3,10093
01:46,8	3,09907
01:46,8	3,09785
01:46,8	3,09617
01:46,8	3,09553
01:46,8	3,09309
01:46,8	3,09123
01:46,8	3,0896
01:46,8	3,08518
01:46,9	3,08274
01:46,9	3,08012
01:46,9	3,07861
01:46,9	3,07687
01:46,9	3,07513
01:46,9	3,07664
01:46,9	3,07018
01:46,9	3,06891
01:46,9	3,06751
01:46,9	3,06588
01:47,0	3,06757
01:47,0	3,06739
01:47,0	3,06641
01:47,0	3,06751
01:47,0	3,066
01:47,0	3,0646
01:47,0	3,06286
01:47,0	3,06495
01:47,0	3,06408
01:47,0	3,06344
01:47,1	3,06489
01:47,1	3,06536
01:47,1	3,06821
01:47,1	3,06745
01:47,1	3,06745
01:47,1	3,06734
01:47,1	3,06681
01:47,1	3,07175
01:47,1	3,07199
01:47,1	3,07228
01:47,2	3,07106
01:47,2	3,06809
01:47,2	3,06809
01:47,2	3,07053
01:47,2	3,07042
01:47,2	3,07007
01:47,2	3,07094
01:47,2	3,0717
01:47,2	3,07268
01:47,2	3,07356
01:47,3	3,07431
01:47,3	3,07286
01:47,3	3,07646
01:47,3	3,07472
01:47,3	3,07896
01:47,3	3,07983
01:47,3	3,08082
01:47,3	3,07937
01:47,3	3,08076
01:47,4	3,08181
01:47,4	3,08303
01:47,4	3,08565
01:47,4	3,0889
01:47,4	3,08995
01:47,4	3,08797
01:47,4	3,08623
01:47,4	3,08809
01:47,4	3,08931
01:47,4	3,09129
01:47,5	3,09041
01:47,5	3,09251
01:47,5	3,09349
01:47,5	3,09483
01:47,5	3,09361
01:47,5	3,09559
01:47,5	3,09471
01:47,5	3,09535
01:47,5	3,09762
01:47,5	3,0996
01:47,5	3,10169
01:47,6	3,10367
01:47,6	3,10553
01:47,6	3,10983
01:47,6	3,10983
01:47,6	3,11227
01:47,6	3,115
01:47,6	3,11797
01:47,6	3,12006
01:47,6	3,12209
01:47,6	3,12657
01:47,7	3,12831
01:47,7	3,12982
01:47,7	3,13209
01:47,7	3,13436
01:47,7	3,13471
01:47,7	3,1361
01:47,7	3,13732
01:47,7	3,14029
01:47,7	3,14215
01:47,8	3,1436
01:47,8	3,14412
01:47,8	3,14721
01:47,8	3,14831
01:47,8	3,14721
01:47,8	3,14808
01:47,8	3,15156
01:47,8	3,15267
01:47,8	3,15331
01:47,8	3,1543
01:47,8	3,15529
01:47,9	3,14784
01:47,9	3,14808
01:47,9	3,14854
01:47,9	3,14953
01:47,9	3,15063
01:47,9	3,15238
01:47,9	3,15558
01:47,9	3,15622
01:47,9	3,15622
01:47,9	3,15622
01:48,0	3,15622
01:48,0	3,15668
01:48,0	3,15517
01:48,0	3,15529
01:48,0	3,1554
01:48,0	3,15871
01:48,0	3,15622
01:48,0	3,15598
01:48,0	3,15587
01:48,0	3,15575
01:48,1	3,15575
01:48,1	3,16307
01:48,1	3,16307
01:48,1	3,16284
01:48,1	3,16209
01:48,1	3,16383
01:48,1	3,15924
01:48,1	3,15627
