Time (s) - y0 (u0)	Amplitude - y0 (u0)
0	30,27
1,94	31,14
3,87	31,26
5,81	30,95
7,75	30,44
9,68	29,9
11,62	29,43
13,56	29,09
15,5	28,92
17,43	28,93
19,37	29,11
21,31	29,45
23,24	29,94
25,18	30,54
27,12	31,25
29,05	32,03
30,99	32,86
32,93	33,74
34,86	34,63
36,8	35,54
38,74	36,44
40,67	37,33
42,61	38,2
44,55	39,04
46,49	39,85
48,42	40,63
50,36	41,38
52,3	42,09
54,23	42,77
56,17	43,41
58,11	44,02
60,04	44,59
61,98	45,13
63,92	45,65
65,85	46,13
67,79	46,58
69,73	47,01
71,67	47,41
73,6	47,79
75,54	48,14
77,48	48,48
79,41	48,8
81,35	49,09
83,29	49,37
85,22	49,64
87,16	49,88
89,1	50,12
91,03	50,34
92,97	50,55
94,91	50,74
96,85	50,93
98,78	51,1
100,72	51,27
102,66	51,42
104,59	51,57
106,53	51,7
108,47	51,83
110,4	51,96
112,34	52,07
114,28	52,18
116,21	52,28
118,15	52,38
120,09	52,47
122,02	52,56
123,96	52,64
125,9	52,72
127,84	52,79
129,77	52,86
131,71	52,92
133,65	52,98
135,58	53,04
137,52	53,09
139,46	53,15
141,39	53,19
143,33	53,24
145,27	53,28
147,2	53,32
149,14	53,36
151,08	53,4
153,02	53,43
154,95	53,46
156,89	53,49
158,83	53,52
160,76	53,55
162,7	53,57
164,64	53,6
166,57	53,62
168,51	53,64
170,45	53,66
172,38	53,68
174,32	53,7
176,26	53,71
178,19	53,73
180,13	53,74
182,07	53,76
184,01	53,77
185,94	53,78
187,88	53,8
189,82	53,81
191,75	53,82
193,69	53,83
195,63	53,84
197,56	53,85
199,5	53,85
201,44	53,86
203,37	53,87
205,31	53,88
207,25	53,88
209,19	53,89
211,12	53,89
213,06	53,9
215	53,91
216,93	53,91
218,87	53,92
220,81	53,92
222,74	53,92
224,68	53,93
226,62	53,93
228,55	53,93
230,49	53,94
232,43	53,94
234,36	53,94
236,3	53,95
238,24	53,95
240,18	53,95
242,11	53,95
244,05	53,96
245,99	53,96
247,92	53,96
249,86	53,96
251,8	53,96
253,73	53,97
255,67	53,97
257,61	53,97
259,54	53,97
261,48	53,97
263,42	53,97
265,36	53,97
