Time - Plot 0	Temperatura [C] - Plot 0
42,91	25,85
42,92	25,87
43	25,95
43,64	26,61
44,62	27,61
44,62	27,62
44,63	27,63
44,71	27,71
45,35	28,35
46,35	29,32
47,35	30,26
48,35	31,17
49,35	32,06
50,35	32,91
51,35	33,74
52,35	34,54
53,35	35,31
54,35	36,06
55,35	36,79
56,35	37,49
57,35	38,17
58,35	38,83
59,35	39,47
60,35	40,09
61,35	40,68
62,35	41,26
63,35	41,82
64,35	42,37
65,35	42,89
66,35	43,4
67,35	43,89
68,35	44,37
69,35	44,83
70,35	45,28
71,35	45,72
72,35	46,14
73,35	46,54
74,35	46,94
75,35	47,32
76,35	47,69
77,35	48,05
78,35	48,4
79,35	48,73
80,35	49,06
81,35	49,37
82,35	49,68
83,35	49,98
84,35	50,26
85,35	50,54
86,35	50,81
87,35	51,07
88,35	51,33
89,35	51,57
90,35	51,81
91,35	52,04
92,35	52,27
93,35	52,48
94,35	52,69
95,35	52,9
96,35	53,09
97,35	53,29
98,35	53,47
99,35	53,65
100,35	53,83
101,35	54
102,35	54,16
103,35	54,32
104,35	54,48
105,35	54,63
106,35	54,77
107,35	54,91
108,35	55,05
109,35	55,18
110,35	55,31
111,35	55,44
112,35	55,56
113,35	55,68
114,35	55,79
115,35	55,9
116,35	56,01
117,35	56,11
118,35	56,22
119,35	56,31
120,35	56,41
121,35	56,5
122,35	56,59
123,35	56,68
124,35	56,77
125,35	56,85
126,35	56,93
127,35	57,01
128,35	57,08
129,35	57,16
130,35	57,23
131,35	57,3
132,35	57,36
133,35	57,43
134,35	57,49
135,35	57,56
136,35	57,62
137,35	57,67
138,35	57,73
139,35	57,79
140,35	57,84
141,35	57,89
142,35	57,94
143,35	57,99
144,35	58,04
145,35	58,09
146,35	58,13
147,35	58,18
148,35	58,22
149,35	58,26
150,35	58,3
151,35	58,34
152,35	58,38
153,35	58,42
154,35	58,45
155,35	58,49
156,35	58,52
157,35	58,56
158,35	58,59
159,35	58,62
160,35	58,65
161,35	58,68
162,35	58,71
163,35	58,74
164,35	58,77
165,35	58,8
166,35	58,82
167,35	58,85
168,35	58,88
169,35	58,9
170,35	58,92
171,35	58,95
172,35	58,97
173,35	58,99
174,35	59,01
175,35	59,04
176,35	59,06
177,35	59,08
178,35	59,1
179,35	59,11
180,35	59,13
181,35	59,15
182,35	59,17
183,35	59,19
184,35	59,2
185,35	59,22
186,35	59,24
187,35	59,25
188,35	59,27
189,35	59,28
190,35	59,3
191,35	59,31
192,35	59,32
193,35	59,34
194,35	59,35
195,35	59,36
196,35	59,38
197,35	59,39
198,35	59,4
199,35	59,41
200,35	59,42
201,35	59,44
202,35	59,45
203,35	59,46
204,35	59,47
205,35	59,48
206,35	59,49
207,35	59,5
208,35	59,51
209,35	59,52
210,35	59,53
211,35	59,54
212,35	59,54
213,35	59,55
214,35	59,56
215,35	59,57
216,35	59,58
217,35	59,59
218,35	59,59
219,35	59,6
220,35	59,61
221,35	59,62
222,35	59,62
223,35	59,63
224,35	59,64
225,35	59,64
226,35	59,65
227,35	59,66
228,35	59,66
229,35	59,67
230,35	59,67
231,35	59,68
232,35	59,69
233,35	59,69
234,35	59,7
235,35	59,7
236,35	59,71
237,35	59,71
238,35	59,72
239,35	59,72
240,35	59,73
241,35	59,73
242,35	59,74
243,35	59,74
244,35	59,75
245,35	59,75
246,35	59,76
247,35	59,76
248,35	59,76
249,35	59,77
250,35	59,77
251,35	59,78
252,35	59,78
253,35	59,78
254,35	59,79
255,35	59,79
256,35	59,79
257,35	59,8
258,35	59,8
259,35	59,8
260,35	59,81
261,35	59,81
262,35	59,81
263,35	59,82
264,35	59,82
265,35	59,82
266,35	59,83
267,35	59,83
268,35	59,83
269,35	59,84
270,35	59,84
271,35	59,84
272,35	59,84
273,35	59,85
274,35	59,85
275,35	59,85
276,35	59,85
277,35	59,86
278,35	59,86
279,35	59,86
280,35	59,86
281,35	59,87
282,35	59,87
283,35	59,87
284,35	59,87
285,35	59,87
286,35	59,88
287,35	59,88
288,35	59,88
289,35	59,88
290,35	59,88
291,35	59,89
292,35	59,89
293,35	59,89
294,35	59,89
295,35	59,89
296,35	59,89
297,35	59,9
298,35	59,9
299,35	59,9
300	59,9
